"symbol" "EntrezID" "CGC" "Kandothetal"
"CTCF" 10664 FALSE TRUE
"SETBP1" 26040 FALSE TRUE
"TBX3" 6926 FALSE TRUE
"CRIPAK" 285464 FALSE TRUE
"EPHA3" 2042 FALSE TRUE
"STAG2" 10735 FALSE TRUE
"AR" 367 FALSE TRUE
"EPPK1" 83481 FALSE TRUE
"TSHZ2" 128553 FALSE TRUE
"PIK3CG" 5294 FALSE TRUE
"SOX9" 6662 FALSE TRUE
"CDKN1B" 1027 FALSE TRUE
"HGF" 3082 FALSE TRUE
"PRX" 57716 FALSE TRUE
"ERBB4" 2066 FALSE TRUE
"MTOR" 2475 FALSE TRUE
"TLR4" 7099 FALSE TRUE
"ARID5B" 84159 FALSE TRUE
"KMT2B" 9757 FALSE TRUE
"ELF3" 1999 FALSE TRUE
"LRRK2" 120892 FALSE TRUE
"POLQ" 10721 FALSE TRUE
"FOXA1" 3169 FALSE TRUE
"HIST1H1C" 3006 FALSE TRUE
"EPHB6" 2051 FALSE TRUE
"FOXA2" 3170 FALSE TRUE
"USP9X" 8239 FALSE TRUE
"NFE2L3" 9603 FALSE TRUE
"TGFBR2" 7048 FALSE TRUE
"SOX17" 64321 FALSE TRUE
"CDKN1A" 1026 FALSE TRUE
"B4GALT3" 8703 FALSE TRUE
"TAF1" 6872 FALSE TRUE
"ATR" 545 FALSE TRUE
"SIN3A" 25942 FALSE TRUE
"VEZF1" 7716 FALSE TRUE
"HIST1H2BD" 3017 FALSE TRUE
"SMC1A" 8243 FALSE TRUE
"ACVR1B" 91 FALSE TRUE
"MAPK8IP1" 9479 FALSE TRUE
"H3F3C" 440093 FALSE TRUE
"TBL1XR1" 79718 FALSE TRUE
"EGR3" 1960 FALSE TRUE
"ACVR2A" 92 FALSE TRUE
"SMC3" 9126 FALSE TRUE
"NCOR1" 9611 FALSE TRUE
"RPL5" 6125 FALSE TRUE
"SMAD2" 4087 FALSE TRUE
"SPOP" 8405 FALSE TRUE
"AXIN2" 8313 FALSE TRUE
"MIR142" 406934 FALSE TRUE
"RAD21" 5885 FALSE TRUE
"PCBP1" 5093 FALSE TRUE
"AJUBA" 84962 FALSE TRUE
"ARHGAP35" 2909 FALSE TRUE
